,throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_4throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_3throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_2throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_5throughputsEU3US0wEU1US0rEU1US0_slow_ABD_3-1-1_1
fast_ops_no,0.0
max_read_operation_latency,0.004320811654069985
max_write_operation_latency,0.00450502424604565
mean_read_operation_latency,0.003967175034203683
mean_write_operation_latency,0.004219853775997035
median_read_operation_latency,0.0039917427520413185
median_write_operation_latency,0.00419659489197511
min_read_operation_latency,0.0035877193409396568
min_write_operation_latency,0.003804526460953639
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,3.0
sUS,0.0
servers_no,3.0
std_read_operation_latency,0.00023392233483176067
std_write_operation_latency,0.0002590107687413244
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
