,throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_1throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_2throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_5throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_4throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_3
fast_ops_no,0.0
max_read_operation_latency,0.6012875034907774
max_write_operation_latency,0.6013711442306522
mean_read_operation_latency,0.6010869511004886
mean_read_operation_latency_ABD,0.6010869511004886
mean_write_operation_latency,0.6009127267472796
mean_write_operation_latency_ABD,0.6009127267472796
median_read_operation_latency,0.6011316399272182
median_write_operation_latency,0.6009019402458798
min_read_operation_latency,0.6008404471027897
min_write_operation_latency,0.6005378529315639
rEU,1.0
rUS,0.0
readers_no,1.0
reads_no,1000.0
recons_no,0.0
sEU,0.0
sUS,3.0
servers_no,3.0
std_read_operation_latency,0.00017328770102414216
std_write_operation_latency,0.00026724048086486526
succ_writes_no,1000.0
succ_writes_perc,100.0
unsucc_writes_no,0.0
unsucc_writes_perc,0.0
wEU,1.0
wUS,0.0
writers_no,1.0
writes_no,1000.0
