,throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_1throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_5throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_2throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_3throughputsEU1US2wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_4,throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_3throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_4throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_5throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_2throughputsEU1US2wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_1,throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_1throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_3throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_4throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_5throughputsEU1US2wEU1US0rEU1US0_slow_ABD_3-1-1_2
mean_read_operation_latency,0.6170147686946671,0.6156971988851787,0.29456933739264496
median_read_operation_latency,0.6170058944368502,0.6157731497269852,0.2945756588288205
std_read_operation_latency,0.00012053796900804869,0.00031606246585538355,8.817459601138803e-05
max_read_operation_latency,0.6171939771460311,0.6161626445327857,0.2947021826632699
min_read_operation_latency,0.6168835365408304,0.6152443565440772,0.29442966699323736
mean_write_operation_latency,0.6162505273773801,0.6160381855319603,0.2946631850217789
median_write_operation_latency,0.6162693681211385,0.6159492683596182,0.29466297676319664
std_write_operation_latency,0.00010839215324410184,0.00023221448403356901,2.3026172458786946e-05
max_write_operation_latency,0.6163949102629122,0.6163196218118392,0.2946968684951717
min_write_operation_latency,0.616088036125031,0.6157273921200831,0.2946382195458573
rEU,1.0,1.0,1.0
rUS,0.0,0.0,0.0
readers_no,1.0,1.0,1.0
reads_no,1000.0,1000.0,1000.0
recons_no,0.0,0.0,0.0
sEU,1.0,1.0,1.0
sUS,2.0,2.0,2.0
servers_no,3.0,3.0,3.0
succ_writes_no,1000.0,1000.0,1000.0
unsucc_writes_no,0.0,0.0,0.0
wEU,1.0,1.0,1.0
wUS,0.0,0.0,0.0
writers_no,1.0,1.0,1.0
writes_no,1000.0,1000.0,1000.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
