,throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_1throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_3throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_4throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_5throughputsEU0US3wEU1US0rEU1US0_slow_ARES_EC_3-1-1-0_2,throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_1throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_3throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_4throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_5throughputsEU0US3wEU1US0rEU1US0_slow_ABD_3-1-1_2,throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_1throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_2throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_5throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_4throughputsEU0US3wEU1US0rEU1US0_slow_ARES_ABD_3-1-1-0_3
mean_read_operation_latency,0.6016641894106811,0.28717821734462634,0.6010869511004886
median_read_operation_latency,0.6015478910831152,0.2871980772074021,0.6011316399272182
std_read_operation_latency,0.0002528939583505487,3.20699082453418e-05,0.00017328770102414216
max_read_operation_latency,0.6019681344782002,0.28720903444240686,0.6012875034907774
min_read_operation_latency,0.6013727791617858,0.2871227128584869,0.6008404471027897
mean_write_operation_latency,0.6008455459266726,0.2872817873888358,0.6009127267472796
median_write_operation_latency,0.6007174326907261,0.28733814348364833,0.6009019402458798
std_write_operation_latency,0.00021231266852622476,0.00010623643768683983,0.00026724048086486526
max_write_operation_latency,0.6011467688562115,0.287384607621847,0.6013711442306522
min_write_operation_latency,0.6006053443296987,0.2871111698682944,0.6005378529315639
rEU,1.0,1.0,1.0
rUS,0.0,0.0,0.0
readers_no,1.0,1.0,1.0
reads_no,1000.0,1000.0,1000.0
recons_no,0.0,0.0,0.0
sEU,0.0,0.0,0.0
sUS,3.0,3.0,3.0
servers_no,3.0,3.0,3.0
succ_writes_no,1000.0,1000.0,1000.0
unsucc_writes_no,0.0,0.0,0.0
wEU,1.0,1.0,1.0
wUS,0.0,0.0,0.0
writers_no,1.0,1.0,1.0
writes_no,1000.0,1000.0,1000.0
succ_writes_perc,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0
